post_id,platform,post_type,category,post_date,likes,shares,comments,reach
POST_1056,LinkedIn,Video,Entertainment,2024-11-12 00:00:00,1102,291.0,157,6612
POST_1057,LinkedIn,Poll,Entertainment,2024-11-27 00:00:00,340,248.0,120,2720
POST_1058,Twitter,Poll,Entertainment,2024-11-10 00:00:00,509,331.0,117,2545
POST_1059,Twitter,Text,Education,2024-10-06 00:00:00,303,204.0,64,1212
POST_1060,Facebook,Link,Entertainment,2024-10-22 00:00:00,2252,497.0,111,13512
POST_1061,Facebook,Poll,Entertainment,2024-10-31 00:00:00,54,380.0,81,324
POST_1062,Instagram,Link,Lifestyle,2024-10-18 00:00:00,3620,258.0,12,21720
POST_1063,Instagram,Link,Lifestyle,2024-11-09 00:00:00,4425,23.0,105,13275
POST_1064,LinkedIn,Video,Entertainment,2024-10-12 00:00:00,117,138.0,102,585
POST_1065,LinkedIn,Text,Entertainment,2024-10-17 00:00:00,182,245.0,9,910
POST_1066,Instagram,Image,Technology,2024-11-18 00:00:00,304,,68,1216
POST_1067,Instagram,Video,Entertainment,2024-11-12 00:00:00,987,298.0,60,4935
POST_1068,Instagram,Poll,Education,2024-11-17 00:00:00,988,408.0,46,2964
POST_1069,Twitter,Poll,Entertainment,2024-10-26 00:00:00,1948,782.0,55,15584
POST_1070,Instagram,Image,Business,2024-11-24 00:00:00,4968,422.0,35,14904
POST_1071,Twitter,Poll,Entertainment,2024-11-12 00:00:00,778,,134,4668
POST_1072,LinkedIn,Image,Entertainment,2024-10-24 00:00:00,1316,240.0,186,9212
POST_1073,Twitter,Poll,Education,2024-11-19 00:00:00,1010,526.0,116,5050
POST_1074,Instagram,Image,Business,2024-11-26 00:00:00,3742,134.0,197,22452
POST_1075,Twitter,Image,Entertainment,2024-11-24 00:00:00,685,236.0,129,3425
POST_1076,Twitter,Poll,Business,2024-11-05 00:00:00,40,579.0,53,240
POST_1077,Instagram,Link,Entertainment,2024-10-29 00:00:00,191,57.0,80,955
POST_1078,Twitter,Link,Education,2024-11-03 00:00:00,724,485.0,195,4344
POST_1079,Twitter,Text,Business,2024-10-15 00:00:00,267,788.0,54,2136
POST_1080,Instagram,Video,Lifestyle,2024-11-17 00:00:00,4016,151.0,190,28112
POST_1081,Twitter,Image,Lifestyle,2024-10-19 00:00:00,485,419.0,50,1940
POST_1082,Twitter,Image,Technology,2024-11-05 00:00:00,618,764.0,37,1854
POST_1083,Facebook,Poll,Business,2024-10-31 00:00:00,1990,471.0,92,11940
POST_1084,Facebook,Image,Entertainment,2024-11-01 00:00:00,333,610.0,166,2331
POST_1085,Twitter,Image,Lifestyle,2024-10-08 00:00:00,1162,832.0,111,4648
POST_1086,LinkedIn,Link,Entertainment,2024-10-20 00:00:00,1220,224.0,83,9760
POST_1087,Facebook,Video,Lifestyle,2024-10-17 00:00:00,2735,103.0,45,10940
POST_1088,Facebook,Link,,2024-11-14 00:00:00,2462,501.0,79,12310
POST_1089,LinkedIn,Image,Lifestyle,2024-11-29 00:00:00,556,106.0,113,2224
POST_1090,Twitter,Video,Technology,2024-10-04 00:00:00,359,861.0,83,1795
POST_1091,LinkedIn,Image,Entertainment,2024-11-14 00:00:00,637,211.0,74,1911
POST_1092,Facebook,Link,Business,2024-11-08 00:00:00,1055,46.0,28,7385
POST_1093,Facebook,Text,Education,2024-10-03 00:00:00,747,501.0,137,2988
POST_1094,LinkedIn,Link,Technology,2024-10-31 00:00:00,727,214.0,90,2908
POST_1095,Twitter,Link,Entertainment,2024-10-19 00:00:00,1376,460.0,199,6880
POST_1096,Twitter,Text,Technology,2024-11-19 00:00:00,847,,136,5929
POST_1097,LinkedIn,Link,Technology,2024-10-13 00:00:00,1076,190.0,164,3228
POST_1098,Instagram,Text,Education,2024-10-09 00:00:00,2409,,183,19272
POST_1099,Instagram,Video,Business,2024-11-05 00:00:00,162,292.0,109,486
POST_1100,LinkedIn,Image,Lifestyle,2024-11-01 00:00:00,1482,154.0,135,8892
POST_1101,LinkedIn,Video,Entertainment,2024-11-05 00:00:00,311,201.0,53,1244
POST_1102,Facebook,Text,Entertainment,2024-10-22 00:00:00,2109,293.0,5,14763
POST_1103,LinkedIn,Video,Entertainment,2024-11-04 00:00:00,1006,181.0,90,6036
POST_1104,Twitter,Video,,2024-11-06 00:00:00,804,289.0,110,6432
POST_1105,LinkedIn,Link,Lifestyle,2024-11-01 00:00:00,90,69.0,133,270
POST_1106,LinkedIn,Image,Education,2024-11-28 00:00:00,950,12.0,189,3800
POST_1107,Facebook,Link,Business,2024-10-22 00:00:00,2582,729.0,106,20656
POST_1108,LinkedIn,Text,Entertainment,2024-11-25 00:00:00,1123,23.0,163,5615
POST_1109,Instagram,Image,Entertainment,2024-10-07 00:00:00,873,237.0,47,2619
POST_1110,Twitter,Image,Business,2024-10-23 00:00:00,787,491.0,42,6296
POST_1111,Instagram,Video,Lifestyle,2024-10-06 00:00:00,3183,327.0,179,12732
POST_1112,Instagram,Link,Business,2024-10-30 00:00:00,2141,351.0,7,10705
POST_1113,Instagram,Image,Entertainment,2024-10-23 00:00:00,4863,163.0,168,29178
POST_1114,Twitter,Video,Entertainment,2024-11-24 00:00:00,1009,159.0,65,5045
POST_1115,Twitter,Image,Entertainment,2024-10-18 00:00:00,36,629.0,180,252
POST_1116,LinkedIn,Text,Lifestyle,2024-11-08 00:00:00,736,117.0,167,5888
POST_1117,Instagram,Image,Technology,2024-10-20 00:00:00,3661,27.0,153,18305
POST_1118,Twitter,Link,Lifestyle,2024-10-13 00:00:00,290,855.0,143,2030
POST_1119,Twitter,Video,Business,2024-11-28 00:00:00,1708,543.0,80,5124
POST_1120,LinkedIn,Image,Lifestyle,2024-11-18 00:00:00,477,208.0,147,1431
POST_1121,Twitter,Poll,Technology,2024-10-30 00:00:00,774,738.0,196,6192
POST_1122,Twitter,Image,Lifestyle,2024-10-31 00:00:00,71,684.0,148,568
POST_1123,Facebook,Link,,2024-11-11 00:00:00,1702,139.0,40,10212
POST_1124,Facebook,Image,Lifestyle,2024-11-26 00:00:00,2231,158.0,104,17848
POST_1125,LinkedIn,Poll,Lifestyle,2024-11-26 00:00:00,864,55.0,130,4320
POST_1126,Facebook,Text,Lifestyle,2024-10-29 00:00:00,1851,261.0,97,12957
POST_1127,Twitter,Image,Entertainment,2024-10-18 00:00:00,408,175.0,121,3264
POST_1128,Facebook,Image,Business,2024-10-16 00:00:00,545,598.0,57,2180
POST_1129,Instagram,Video,,2024-11-19 00:00:00,1258,413.0,157,5032
POST_1130,Instagram,Poll,Business,2024-11-21 00:00:00,1479,66.0,174,7395
POST_1131,Instagram,Poll,Business,2024-10-02 00:00:00,1477,145.0,18,4431
POST_1132,Facebook,Link,Entertainment,2024-11-19 00:00:00,1512,545.0,156,10584
POST_1133,Facebook,Poll,Business,2024-10-30 00:00:00,2665,51.0,20,15990
POST_1134,Facebook,Link,Entertainment,2024-10-05 00:00:00,360,349.0,160,2520
POST_1135,Twitter,Link,Education,2024-11-03 00:00:00,623,514.0,134,4984
POST_1136,Facebook,Poll,Lifestyle,2024-10-28 00:00:00,1879,253.0,110,11274
POST_1137,Facebook,Text,Entertainment,2024-10-21 00:00:00,2754,281.0,100,16524
POST_1138,Facebook,Image,Technology,2024-10-06 00:00:00,1798,118.0,195,12586
POST_1139,Facebook,Poll,Education,2024-11-05 00:00:00,1380,706.0,36,8280
POST_1140,Facebook,Text,Education,2024-10-20 00:00:00,1470,126.0,152,8820
POST_1141,Instagram,Image,Business,2024-11-24 00:00:00,4606,198.0,34,27636
POST_1142,Facebook,Poll,Business,2024-10-02 00:00:00,768,299.0,184,3840
POST_1143,Facebook,Video,Lifestyle,2024-11-06 00:00:00,2722,430.0,22,8166
POST_1144,Facebook,Poll,Lifestyle,2024-10-25 00:00:00,1749,484.0,92,8745
POST_1145,Facebook,Image,Lifestyle,2024-10-11 00:00:00,2560,70.0,177,15360
POST_1146,LinkedIn,Poll,Entertainment,2024-10-27 00:00:00,574,115.0,198,1722
POST_1147,Twitter,Poll,Entertainment,2024-11-03 00:00:00,1386,365.0,16,4158
POST_1148,Facebook,Video,Business,2024-10-14 00:00:00,592,,79,4736
POST_1149,LinkedIn,Video,Lifestyle,2024-10-25 00:00:00,1105,122.0,133,5525
POST_1150,Facebook,Link,Technology,2024-10-28 00:00:00,106,490.0,24,742
